artist_id,Name,Type,Popularity,Genres,Followers
3bmFPbLMiLxtR9tFrTcKcP,Matthew Wilder,artist,54,new wave pop,47075
5fsDcuclIe8ZiBD5P787K1,Stevie Ray Vaughan,artist,58,"album rock, blues, blues rock, classic rock, electric blues, hard rock, heartland rock, instrumental rock, rock, texas blues",2429822
4vQV1LCGBdYAt5rIIPjSFZ,Frank Reyes,artist,53,"bachata, bachata dominicana",657550
08b2PA6eFyugsWAk41eQKZ,Lesley Gore,artist,57,"brill building pop, bubblegum pop, classic girl group",335354
54SHZF2YS3W87xuJKSvOVf,Widespread Panic,artist,46,"athens indie, jam band, southern rock",274892
5Wabl1lPdNOeIn0SQ5A1mp,Cocteau Twins,artist,60,"alternative rock, art pop, dream pop, ethereal wave, melancholia, new wave, scottish indie, shoegaze, synthpop",990789
7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,artist,66,"classic soul, jazz blues, memphis soul, soul, southern soul, vocal jazz",3325591
2cGwlqi3k18jFpUyTrsR84,The Verve,artist,63,"britpop, permanent wave, rock, shoegaze",2310088
1YzCsTRb22dQkh9lghPIrp,Billie Holiday,artist,61,"adult standards, harlem renaissance, jazz, jazz blues, soul, swing, torch song, vocal jazz",1880382
3koiLjNrgRTNbOwViDipeA,Marvin Gaye,artist,70,"classic soul, motown, neo soul, northern soul, quiet storm, soul",5277546
69baNgo5tsg1RjBgotRbEj,Earl Thomas Conley,artist,41,"classic country pop, country",268088
7w29UYBi0qsHi5RTcv3lmA,Björk,artist,59,"alternative rock, art pop, electronica, experimental pop, experimental vocal, icelandic experimental, icelandic pop, icelandic singer-songwriter, metropopolis, permanent wave, trip hop",2053834
3RNrq3jvMZxD9ZyoOZbQOD,Korn,artist,73,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",7405686
28AyklUmMECPwdfo8NEsV0,Jimmy Buffett,artist,65,trop rock,1053678
74ASZWbe4lXaubB36ztrGX,Bob Dylan,artist,68,"classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter",6414558
3d2hJTVTwo08F9b0ZFQukJ,The Jeff Healey Band,artist,42,"blues, blues rock, canadian blues, country rock, electric blues, heartland rock, modern blues",219204
5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys,artist,71,"boy band, dance pop, pop",5602416
3rfgbfpPSfXY40lzRK7Syt,Barry White,artist,62,"disco, quiet storm, soul",1850663
1xgFexIwrf2QjbU0buCNnp,The Breeders,artist,49,alternative rock,457455
7gi3jmwpUpNWdswT8eEprF,Conway Twitty,artist,57,"arkansas country, classic country pop, country, country rock",871791
46gyXjRIvN1NL1eCB8GBxo,All Time Low,artist,65,"modern rock, neon pop punk, pop emo, pop punk",2997330
5vngPClqofybhPERIqQMYd,George Strait,artist,70,"contemporary country, country, country road",4243261
6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,artist,75,"album rock, classic rock, heartland rock, mellow gold, piano rock, rock, singer-songwriter, soft rock",5896720
6Q192DXotxtaysaqNPy5yR,Amy Winehouse,artist,76,"british soul, neo soul",8685124
57bUPid8xztkieZfS7OlEV,The Supremes,artist,59,"classic girl group, classic soul, disco, motown, soul",1672908
7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,artist,72,"motown, soul",6387710
6GI52t8N5F02MxU0g5U69P,Santana,artist,67,"blues rock, classic rock, mexican classic rock",3304059
0qAmeOULjwn04k6jMMeDyr,Mary Chapin Carpenter,artist,45,"classic country pop, country, country rock, ectofolk, folk, lilith, singer-songwriter",216573
2qk9voo8llSGYcZ6xrBzKx,Kings of Leon,artist,73,"modern rock, rock",5318874
5HFtQOrPHOFptM1WF9xPuK,Ronnie Wood,artist,31,electric blues,99696
0EmeFodog0BfCgMzAIvKQp,Shakira,artist,83,"colombian pop, dance pop, latin pop, pop",32773340
6FBDaR13swtiWwGhX1WQsP,blink-182,artist,75,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk",8150133
29kkCKKGXheHuoO829FxWK,Boston,artist,63,"album rock, classic rock, glam metal, hard rock, mellow gold, rock, soft rock",2703182
7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,artist,68,"album rock, art rock, beatlesque, classic rock, glam rock, mellow gold, rock, soft rock, symphonic rock",3995285
7EK1bQADBoqbYXnT4Cqv9w,John Denver,artist,65,"classic country pop, folk, folk rock, mellow gold, singer-songwriter, soft rock",2139778
70cRZdQywnSFp9pnc2WTCE,Simon & Garfunkel,artist,68,"classic rock, folk, folk rock, melancholia, mellow gold, rock, soft rock",5113152
3G3Gdm0ZRAOxLrbyjfhii5,my bloody valentine,artist,53,"alternative rock, dream pop, noise pop, shoegaze",914927
43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,artist,74,"rock-and-roll, rockabilly",9353455
2IvkS5MXK0vPGnwyJsrEyV,Eric Church,artist,70,"contemporary country, country, country road",3809244
2qFr8w5sWUITRlzZ9kZotF,Jefferson Airplane,artist,55,"acid rock, album rock, blues rock, classic rock, folk rock, hard rock, mellow gold, psychedelic rock, rock, singer-songwriter",1563280
