track_id,Title,artist_id,Popularity,album_id,Release_date,Explicit
1mCsF9Tw4AkIZOjvZbZZdT,Break My Stride,3bmFPbLMiLxtR9tFrTcKcP,73,2coqGqbnSCAy740mClWesA,1983-03-19,False
5bAOP88AnFD11mTj0HisF2,Crossfire,5fsDcuclIe8ZiBD5P787K1,41,4dShhtGUjPunYS95jHOm3r,2002-08-27,False
0lvQMReLRBxd96RseJSuZm,Ya No Te Creo Nada,4vQV1LCGBdYAt5rIIPjSFZ,39,5QShP54MICYu2VqkwfEnGm,1998,False
0sElHCOGB2n8Nlo6GOtWnq,It's My Party,08b2PA6eFyugsWAk41eQKZ,42,40SQtbiQLIU8TMTgCCB7KB,2000-01-01,False
1Pq47iFLC5U7j8xeNiNcuS,It's My Party,08b2PA6eFyugsWAk41eQKZ,65,7KSrseQi4wJDUfMT4mxNo8,1963-06-01,False
2tKvbXiqQM7aYhbpEWLbTf,Climb to Safety,54SHZF2YS3W87xuJKSvOVf,43,2JaUecwsXmm2x9eLfVLu7Z,1999-02-05,False
4MaTOuX0QlD6Tla2ig7X80,In Our Angelhood,5Wabl1lPdNOeIn0SQ5A1mp,41,52MMrcUtar0coGVHULkuQ9,1983-10-31,False
0MCH9gCM4CphdKB6NWivyQ,Runnin' Out of Fools,7nwUJBm0HE4ZxD3f5cy5ok,24,4y31w9vk2A1Wn3GGZCpOpq,1964,False
1WYEDcS7WGjv0rG7rmMX3o,Bitter Sweet Symphony,2cGwlqi3k18jFpUyTrsR84,61,0pygZ3lfsCkG1WmnWWq6a1,2004-01-01,False
57iDDD9N9tTWe75x6qhStw,Bitter Sweet Symphony - Remastered 2016,2cGwlqi3k18jFpUyTrsR84,80,52AeC4gwbxDfFlLHgK1ByD,1997-09-29,False
0jLnevC3Vn34qVWrAa4X6x,Bitter Sweet Symphony,2cGwlqi3k18jFpUyTrsR84,46,5H4t4yeimHOxZrPwcsdw2V,1999-01-01,False
4ceosr0yDFuqWxUiE6HXto,Love For Sale,1YzCsTRb22dQkh9lghPIrp,37,4izD3SCRElbkO06i8yf4Zp,1956-01-01,False
50GJgJR57SYq40DJuCNtvK,What's Happening Brother,3koiLjNrgRTNbOwViDipeA,0,1tIrtPivfbpXp1Fp9fdhsg,1971-05-21,False
3B1K9cOissM5S7zUBwd8TZ,What's Happening Brother,3koiLjNrgRTNbOwViDipeA,0,3P9Pzn7O4Zsr3tsCSsx7Uk,1971-05-21,False
441YpP97RziXY8E4lkdO7W,Fire and Smoke,69baNgo5tsg1RjBgotRbEj,23,1xnBEw6fTudouOOS2L7pFJ,1981,False
6a5KKTeLLiidntaswFszif,Fire and Smoke,69baNgo5tsg1RjBgotRbEj,42,5w3hqdjQtnE0DsWlZCd4eC,1981,False
3sNK3m6weOoIe5wcVUyC1F,5 Years,7w29UYBi0qsHi5RTcv3lmA,34,0HMsmYvoT1h2x1C4di5faf,1997-09-23,False
0mso7AHSDbdMadC1wCVhcu,Hey Daddy,3RNrq3jvMZxD9ZyoOZbQOD,50,5U0pevIOTrPoDsN8YsBCBh,1999-11-09,True
5QfAwMqn87SYvWU8mWtfxJ,Jamaica Mistaica,28AyklUmMECPwdfo8NEsV0,38,4Sk0GxAz3WPBRNwg5ER4BE,1996-01-01,False
6Vcwr9tb3ZLO63F8DL8cqu,Tangled up in Blue,74ASZWbe4lXaubB36ztrGX,59,4WD4pslu83FF6oMa1e19mF,1975-01-17,False
3l91v7fxuSJPsVx7WbiKLT,Hoochie Coochie Man,3d2hJTVTwo08F9b0ZFQukJ,40,3o3sdQI1IpibBqoBIWyBnF,1989-06-19,False
6sbXGUn9V9ZaLwLdOfpKRE,Larger Than Life,5rSXSAkZ67PYJSvpUpkOr7,69,5ySxm9hxBNss01WCL7GLyQ,1999-05-18,False
3mWpUEBYnv9SIFWfixSJFx,"Can't Get Enough Of Your Love, Babe",3rfgbfpPSfXY40lzRK7Syt,70,42Si9RbdXYGWQsfNTzjlnG,1974-02-15,False
7LaCgCP7FCol0RYwMDQKwK,"Can't Get Enough Of Your Love, Babe",3rfgbfpPSfXY40lzRK7Syt,60,6l1USwfJOcRGgJ8LpiRr8m,1988-09-12,False
2ovt4Q16wf4Esgem3L55yk,"Can't Get Enough Of Your Love, Babe",3rfgbfpPSfXY40lzRK7Syt,0,6Sjyt6vhLVBT3XUeiYCfnr,1974-07-25,False
3JgQE933VpnlCI0gmM6oTO,Safari,1xgFexIwrf2QjbU0buCNnp,38,6Gkr2rfEaP8tWbxZdt7HOv,1992-04-06,False
1xVOttVNT27FBTD8iHjOfU,It's Only Make Believe,7gi3jmwpUpNWdswT8eEprF,56,3niZ3iipFSFzO6335VBZiP,1959-01-01,False
5pWqD58cZ9TNvL9WbNfcQ3,Shameless,46gyXjRIvN1NL1eCB8GBxo,41,0H4ELcHequ3OligrjWfrZP,2007-09-25,False
4DbuEIGBsGIj9dzlRtdKM5,Let's Fall To Pieces Together,5vngPClqofybhPERIqQMYd,31,7x8avOLIjaENw4csHfd40c,1985-01-01,False
0Sr1buYAIXIHaYGIGKmfoN,Let's Fall To Pieces Together,5vngPClqofybhPERIqQMYd,40,4tNMkO2t6XfbA9BC8ZcgT2,1983-01-01,False
0r4wWczBaxkTRasVS0mYr9,She's Always a Woman,6zFYqv1mOsgBRQbae3JJ9e,36,7hSjhZyFoR5DHEL8wcWFD5,1985-06-29,False
5RgFlk1fcClZd0Y4SGYhqH,She's Always a Woman,6zFYqv1mOsgBRQbae3JJ9e,77,1Mhn9VosyjtWn4dMPFlna6,1977,False
5FNDpQSkgFiRdUKGfagIRJ,Stronger Than Me,6Q192DXotxtaysaqNPy5yR,53,0RisvCe4jLWes0m89StnuZ,2003,False
1VE0TOgFdcAJrDrSE3IBZ0,A Breathtaking Guy,57bUPid8xztkieZfS7OlEV,29,05pI1Rx1HQ4KA0a0e3PJlV,1964-08-31,False
1inwt0v9a4ib9yS6Y4KsdM,You Haven't Done Nothin',7guDJrEfX3qb6FEbdPA5qi,49,1kda4McF274Jl5x3aOAmPJ,1974-07-22,False
1lTzWeOlPPQb8bHwbQcb7y,You Haven't Done Nothin',7guDJrEfX3qb6FEbdPA5qi,25,2g9Ij40DD7aPaG4hwa8Uab,1982-05-04,False
262RLK33vXanGsKYN2Jxuf,Stormy,6GI52t8N5F02MxU0g5U69P,32,2XgGfmeBPtilvjreCTHHkt,1978-10-01,False
0Q3vW513PoBhndb8MszDP2,Get It Right,7nwUJBm0HE4ZxD3f5cy5ok,32,1P5mbihG8FF4vfu3hhiMVH,1983-07-14,False
1zaigPe4NB94tc4CRshK46,Get It Right,7nwUJBm0HE4ZxD3f5cy5ok,41,0Pe124sDVootFFmCMhqeHO,1983,False
5ANnHcFKjGAC98A7Qkaepd,He Thinks He'll Keep Her,0qAmeOULjwn04k6jMMeDyr,50,5XZgZAIHcrnQwcAWq4Tbn9,1989,False
7zV7ij696h7hsLqFNpXPz2,He Thinks He'll Keep Her,0qAmeOULjwn04k6jMMeDyr,38,1PLDejXS69FJQ19iwzEPvY,1992-06-20,False
28rNyM2CKtOb4PYmsulQhF,Knocked Up,2qk9voo8llSGYcZ6xrBzKx,52,5CiZOqd3iF6p2PsqBjljat,2007-04-02,False
